Date,Time,Open,High,Low,Close,Volume,OpenInterest
2014-01-13,17:15:00,3110.90,3111.45,3110.62,3110.62,0,0
2014-01-13,17:20:00,3110.50,3110.50,3107.22,3107.85,0,0
2014-01-13,17:25:00,3107.66,3108.96,3107.61,3108.47,0,0
2014-01-13,17:30:00,3108.49,3109.46,3108.49,3109.46,0,0
2014-01-14,09:05:00,3093.81,3093.81,3072.86,3074.22,0,0
2014-01-14,09:10:00,3073.49,3078.25,3073.49,3077.76,0,0
2014-01-14,09:15:00,3078.10,3082.23,3078.10,3081.56,0,0
2014-01-14,09:20:00,3081.29,3081.29,3079.30,3080.27,0,0
2014-01-14,09:25:00,3080.51,3085.01,3080.00,3083.96,0,0
2014-01-14,09:30:00,3084.04,3085.25,3083.42,3083.84,0,0
2014-01-14,09:35:00,3084.12,3086.83,3084.12,3086.83,0,0
2014-01-14,09:40:00,3085.91,3086.87,3084.51,3086.38,0,0
2014-01-14,09:45:00,3086.78,3089.41,3086.65,3086.80,0,0
2014-01-14,09:50:00,3086.90,3090.68,3086.90,3089.00,0,0
2014-01-14,09:55:00,3088.95,3092.63,3088.95,3092.58,0,0
2014-01-14,10:00:00,3092.54,3092.90,3091.20,3091.29,0,0
2014-01-14,10:05:00,3091.51,3092.87,3091.14,3092.80,0,0
2014-01-14,10:10:00,3091.74,3092.49,3091.36,3091.84,0,0
2014-01-14,10:15:00,3092.36,3092.49,3091.36,3091.93,0,0
2014-01-14,10:20:00,3091.96,3094.35,3091.96,3093.85,0,0
2014-01-14,10:25:00,3093.91,3094.57,3091.90,3091.93,0,0
2014-01-14,10:30:00,3092.00,3093.10,3092.00,3092.49,0,0
2014-01-14,10:35:00,3092.20,3094.24,3092.20,3093.14,0,0
2014-01-14,10:40:00,3093.21,3095.73,3093.19,3094.12,0,0
2014-01-14,10:45:00,3094.11,3094.60,3093.65,3093.71,0,0
2014-01-14,10:50:00,3093.75,3094.97,3093.75,3094.18,0,0
2014-01-14,10:55:00,3094.02,3095.03,3093.79,3094.58,0,0
2014-01-14,11:00:00,3094.67,3094.75,3093.64,3093.64,0,0
2014-01-14,11:05:00,3093.50,3093.56,3091.50,3091.89,0,0
2014-01-14,11:10:00,3092.85,3095.90,3092.85,3095.90,0,0
2014-01-14,11:15:00,3096.02,3098.07,3096.02,3096.82,0,0
2014-01-14,11:20:00,3096.73,3096.90,3096.04,3096.17,0,0
2014-01-14,11:25:00,3096.09,3096.11,3094.60,3094.60,0,0
2014-01-14,11:30:00,3094.78,3095.76,3094.78,3095.01,0,0
2014-01-14,11:35:00,3094.88,3095.97,3094.65,3095.97,0,0
2014-01-14,11:40:00,3096.11,3096.15,3095.48,3095.84,0,0
2014-01-14,11:45:00,3095.87,3097.60,3095.31,3097.02,0,0
2014-01-14,11:50:00,3097.06,3097.65,3095.72,3095.99,0,0
2014-01-14,11:55:00,3095.97,3096.08,3094.71,3095.34,0,0
2014-01-14,12:00:00,3095.35,3096.24,3095.35,3095.77,0,0
2014-01-14,12:05:00,3096.49,3099.27,3096.49,3098.87,0,0
2014-01-14,12:10:00,3099.03,3099.38,3098.42,3098.93,0,0
2014-01-14,12:15:00,3098.86,3099.70,3098.42,3099.29,0,0
2014-01-14,12:20:00,3098.85,3098.93,3097.15,3097.25,0,0
2014-01-14,12:25:00,3097.23,3098.13,3097.21,3097.74,0,0
2014-01-14,12:30:00,3097.71,3098.37,3097.53,3097.71,0,0
2014-01-14,12:35:00,3097.59,3097.60,3096.81,3097.00,0,0
2014-01-14,12:40:00,3096.67,3096.71,3095.02,3095.02,0,0
2014-01-14,12:45:00,3094.97,3094.97,3093.83,3094.48,0,0
2014-01-14,12:50:00,3094.58,3096.34,3094.14,3096.34,0,0
2014-01-14,12:55:00,3096.74,3098.10,3096.74,3098.10,0,0
2014-01-14,13:00:00,3098.14,3098.57,3096.07,3097.07,0,0
2014-01-14,13:05:00,3096.82,3096.95,3095.00,3095.00,0,0
2014-01-14,13:10:00,3094.88,3094.88,3093.68,3093.92,0,0
2014-01-14,13:15:00,3093.89,3095.04,3093.89,3094.88,0,0
2014-01-14,13:20:00,3094.96,3096.19,3094.91,3096.19,0,0
2014-01-14,13:25:00,3096.28,3096.28,3094.63,3094.68,0,0
2014-01-14,13:30:00,3094.49,3097.87,3094.49,3097.87,0,0
2014-01-14,13:35:00,3100.01,3106.87,3100.01,3104.61,0,0
2014-01-14,13:40:00,3104.51,3105.38,3104.23,3104.23,0,0
2014-01-14,13:45:00,3104.23,3104.30,3102.77,3103.08,0,0
2014-01-14,13:50:00,3102.96,3104.08,3102.47,3103.28,0,0
2014-01-14,13:55:00,3103.28,3103.88,3103.24,3103.24,0,0
2014-01-14,14:00:00,3103.78,3103.78,3102.35,3102.92,0,0
2014-01-14,14:05:00,3102.62,3107.26,3102.62,3106.02,0,0
2014-01-14,14:10:00,3105.86,3106.49,3103.27,3104.68,0,0
2014-01-14,14:15:00,3104.79,3105.12,3103.57,3103.95,0,0
2014-01-14,14:20:00,3103.94,3104.70,3103.56,3104.67,0,0
2014-01-14,14:25:00,3104.61,3104.63,3101.97,3102.11,0,0
2014-01-14,14:30:00,3101.92,3102.00,3100.74,3101.39,0,0
2014-01-14,14:35:00,3101.49,3104.98,3101.49,3103.13,0,0
2014-01-14,14:40:00,3103.33,3103.58,3102.60,3103.44,0,0
2014-01-14,14:45:00,3103.50,3103.56,3102.44,3102.44,0,0
2014-01-14,14:50:00,3102.32,3102.85,3101.99,3102.59,0,0
2014-01-14,14:55:00,3102.71,3103.96,3102.40,3103.96,0,0
2014-01-14,15:00:00,3104.73,3106.10,3104.56,3104.56,0,0
2014-01-14,15:05:00,3104.34,3104.76,3103.50,3104.03,0,0
2014-01-14,15:10:00,3104.49,3105.54,3104.29,3104.37,0,0
2014-01-14,15:15:00,3104.22,3105.39,3102.90,3105.20,0,0
2014-01-14,15:20:00,3105.43,3105.71,3104.18,3105.71,0,0
2014-01-14,15:25:00,3105.69,3107.56,3104.81,3106.44,0,0
2014-01-14,15:30:00,3107.01,3107.01,3104.19,3104.60,0,0
2014-01-14,15:35:00,3104.67,3107.61,3103.59,3106.61,0,0
2014-01-14,15:40:00,3106.06,3106.67,3104.02,3104.02,0,0
2014-01-14,15:45:00,3103.31,3103.54,3101.27,3103.54,0,0
2014-01-14,15:50:00,3103.21,3103.21,3098.92,3099.09,0,0
2014-01-14,15:55:00,3099.70,3099.70,3096.92,3097.02,0,0
2014-01-14,16:00:00,3096.81,3099.66,3094.56,3099.09,0,0
2014-01-14,16:05:00,3100.05,3102.81,3100.05,3101.28,0,0
2014-01-14,16:10:00,3100.95,3105.01,3100.17,3104.71,0,0
2014-01-14,16:15:00,3104.13,3105.28,3103.44,3103.44,0,0
2014-01-14,16:20:00,3103.25,3104.90,3103.24,3104.38,0,0
