Date,Open,High,Low,Close,Adj Close,Volume
1997-06-05,33.312500,33.562500,33.062500,33.250000,13.242543,5899200
1997-06-06,33.312500,34.000000,33.312500,33.875000,13.491458,4925600
1997-06-09,33.937500,34.250000,33.937500,34.250000,13.640812,4292200
1997-06-10,34.250000,34.625000,34.062500,34.187500,13.615920,5444600
1997-06-11,34.187500,34.500000,34.062500,34.187500,13.671909,4033200
1997-06-12,34.625000,35.000000,34.625000,35.000000,13.996829,6430400
1997-06-13,35.187500,36.062500,35.187500,35.937500,14.371752,8388800
1997-06-16,35.937500,36.312500,35.812500,35.812500,14.321763,5651000
1997-06-17,35.812500,35.937500,35.375000,35.812500,14.321763,5209400
1997-06-18,35.812500,36.125000,35.625000,35.687500,14.271769,5276800
1997-06-19,35.687500,36.000000,35.437500,35.750000,14.296772,6765000
1997-06-20,35.750000,35.875000,35.562500,35.687500,14.271769,10990600
1997-06-23,35.625000,35.625000,34.812500,34.875000,13.946850,4148600
1997-06-24,34.875000,35.250000,34.625000,35.156250,14.059317,6552200
1997-06-25,35.156250,35.468750,34.312500,34.718750,13.884363,5855200
1997-06-26,34.718750,35.125000,34.656250,34.937500,13.971836,4747200
1997-06-27,34.968750,35.593750,34.968750,35.500000,14.196788,5457400
1997-06-30,35.500000,35.531250,33.539063,34.000000,13.596926,8405600
1997-07-01,34.000000,34.750000,33.937500,34.312500,13.721898,11291400
1997-07-02,34.312500,35.218750,34.062500,35.218750,14.084307,7417800
1997-07-03,35.312500,35.750000,35.312500,35.375000,14.146794,4004000
1997-07-07,35.375000,35.718750,34.781250,34.937500,13.971836,6065200
1997-07-08,34.937500,35.281250,34.625000,35.281250,14.109309,5503200
1997-07-09,35.281250,35.375000,34.531250,34.687500,13.871865,6557600
1997-07-10,34.687500,35.187500,34.468750,34.812500,13.921854,5044800
1997-07-11,34.812500,35.031250,34.781250,34.906250,13.959340,3087400
1997-07-14,34.906250,35.062500,34.562500,34.875000,13.946850,3563400
1997-07-15,34.875000,35.093750,34.625000,35.062500,14.021828,5041400
1997-07-16,35.062500,35.750000,35.031250,35.437500,14.171792,5546200
1997-07-17,35.437500,35.968750,34.531250,34.937500,13.971836,7063600
1997-07-18,34.906250,34.906250,34.531250,34.625000,13.846873,9139600
1997-07-21,34.437500,34.437500,33.875000,34.156250,13.659412,6144800
1997-07-22,34.406250,35.125000,34.406250,35.062500,14.021828,8252800
1997-07-23,35.062500,35.375000,34.500000,34.531250,13.809381,6741600
1997-07-24,34.531250,35.218750,34.218750,35.093750,14.034322,6158800
1997-07-25,35.093750,35.468750,34.937500,35.062500,14.021828,5221000
1997-07-28,35.062500,35.218750,34.687500,34.843750,13.934346,3888000
1997-07-29,34.843750,35.000000,34.375000,34.843750,13.934346,5037800
1997-07-30,34.843750,35.093750,34.656250,34.937500,13.971836,4879000
1997-07-31,34.937500,34.968750,34.437500,34.562500,13.821869,6088000
1997-08-01,34.562500,35.000000,34.125000,34.312500,13.721898,7182200
1997-08-04,34.312500,34.625000,34.062500,34.468750,13.784382,4070000
1997-08-05,34.406250,34.406250,34.000000,34.000000,13.596926,4023600
1997-08-06,34.000000,34.312500,33.718750,34.062500,13.621926,7832200
1997-08-07,33.968750,33.968750,33.281250,33.281250,13.309487,7551600
1997-08-08,32.875000,32.875000,31.343750,31.343750,12.534664,18877800
1997-08-11,31.343750,31.750000,29.812500,30.875000,12.347208,25320000
1997-08-12,30.875000,31.125000,30.312500,30.468750,12.184743,14184800
1997-08-13,30.468750,31.093750,29.937500,30.218750,12.084767,14515800
1997-08-14,30.218750,30.531250,29.750000,30.031250,12.009786,10822200
1997-08-15,29.968750,29.968750,29.031250,29.375000,11.747346,12587600
1997-08-18,29.375000,30.187500,29.031250,30.187500,12.072275,12737600
1997-08-19,30.187500,30.468750,30.187500,30.406250,12.159746,10347800
1997-08-20,30.406250,30.906250,30.250000,30.750000,12.297219,9331400
1997-08-21,30.750000,30.812500,29.968750,30.281250,12.109758,8738400
1997-08-22,30.281250,30.343750,29.437500,30.343750,12.134750,7904800
1997-08-25,30.343750,30.625000,29.718750,29.843750,11.934807,5655800
1997-08-26,29.843750,30.000000,29.500000,29.500000,11.797337,6479800
1997-08-27,29.500000,29.500000,28.593750,29.312500,11.722348,10290200
1997-08-28,29.312500,29.406250,28.562500,29.125000,11.647372,9693800
1997-08-29,29.125000,29.125000,28.625000,28.656250,11.459907,9787600
1997-09-02,28.656250,29.968750,28.500000,29.937500,11.972290,9126200
1997-09-03,29.937500,30.156250,29.500000,29.500000,11.797337,7742000
1997-09-04,29.500000,29.875000,29.156250,29.812500,11.922307,7006200
1997-09-05,29.812500,30.312500,29.812500,29.937500,11.972290,7411800
1997-09-08,29.937500,30.312500,29.562500,29.562500,11.822332,5261200
